name,val_roc_auc,ext_roc_auc,val_f1,ext_f1
TF-IDF Only (10k),0.9954061476264928,0.47754187800791015,0.9780958577315116,0.5745526838966203
Stylo Only,0.9635364026305164,0.28138100100992436,0.9311306586569406,0.6053412462908012
Combined (TF-IDF 10k + Stylo),0.9963738270654892,0.33557698275229775,0.9790632419598533,0.5915367483296213
Combined (TF-IDF 5k + Stylo),0.9964893253814493,0.3597418204591489,0.9807733851803845,0.6198779424585876
